Name	Set	ImageFile	OfficialSet	Type	Brigade	Strength	Toughness	Class	Identifier	SpecialAbility	Rarity	Reference	Sound	Alignment	Legality
Joseph, the Righteous / Joseph, the Carpenter (LoC)	LoC	LoC_110-Joseph-R	Lineage of Christ	Hero	Red	6(5)	5(6)	Star		STAR: Topdeck a red card from deck. TOP: You may exchange this card with a meek Hero from deck or Reserve and increase that Hero 10/10 this turn. BOTTOM: Meek	Rare	Matthew 1:16		Good	Rotation
Joseph's Brothers' Scheme	Pat	Joseph's_Brothers'_Scheme_(Pa)	Patriarchs	EE	Gold					Select two human Heroes in play to fight each other.  The loser is placed in holder's Land of Bondage and is treated as a Lost Soul.	Uncommon	Genesis 37:26-27		Evil	
Joseph's House	IR	018-Josephs-House-R	Israel's Rebellion	Fortress					Holds a son of Jacob	Protect sons of Jacob in territory from harm. Each upkeep, if occupied, each player must underdeck an evil card from hand or territory.	Rare	Genesis 43:17		Good	Rotation
Joseph's Silver Cup	Pat	Joseph's_Silver_Cup_(Pa)	Patriarchs	Artifact						All opponents' currently activated Artifacts must remain activated for one round.  No new artifacts may be activated.  May be used twice	Rare	Genesis 44:2		Neutral	
Joseph's Silver Cup (PoC)	PoC	019-Josephs-Silver-Cup-R	Prophecies of Christ	Artifact					Unity: Heroes (Genesis)	Look at the top 3 cards of deck: Take 1 and underdeck the rest in any order. At any time, you may discard this card to capture your son of Jacob to a Land of Bondage.	Rare	Genesis 44:2		Neutral	Rotation
Joshua	Pmo-P1	Joshua_(Promo)	Promo	Hero	Gold	11	9			If a rescue or battle challenge is successful, take one unoccupied single color Lost Soul site from your opponent and add it to your territory.	Promo	Old Testament		Good	
Joshua Burns the City	Ki	Joshua_Burns_the_City_(Ki)	Kings	GE	Gold	4	0			Discard a single color Lost Soul Site and all evil cards guarding it.  Lost Soul(s) remains in play.	Common			Good	
Joshua the High Priest	Pri	Joshua_the_High_Priest_(Pi)	Priests	Hero	Teal	7	8		Zerubabel's Temple High Priest, House of Eleazar	Enhancements used by this Hero cannot be negated.  If a silver brigade Hero is in play, this Hero is immune to pale green brigade.	Rare	Zechariah 3:1		Good	
Joshua the High Priest (PoC)	PoC	LR35-Joshua-the-High-Priest	Prophecies of Christ	Hero	Teal	7	8		Zerubbabel's Temple High Priest, House of Eleazar	Enhancements used by this Hero cannot be negated. If a silver Hero is in play, protect this Hero from pale green.	Legacy Rare	Zechariah 3:1		Good	Rotation
Joshua, Son of Nun	CoW	Joshua_(CoW)	Cloud of Witnesses	Hero	Gold/Red	11	9	Warrior, Cloud	Judge, Prophet	Take a single-brigade Site in opponent's territory. You may search deck for a Joshua Hero, or Joshua may band to a Joshua Hero. Cannot be negated.	Rare	Joshua 24:15		Good	Rotation
Joshua, Son of Nun (CoW AB)	CoW (AB)	CoW_AB_N31-Joshua-R	Cloud of Witnesses (Alternate Border)	Hero	Gold/Red	11	9	Warrior, Cloud	Judge, Prophet	Take a single-brigade Site in opponent’s territory. You may search deck for a Joshua Hero, or Joshua may band to a Joshua Hero. Cannot be negated.	Rare	Joshua 24:15		Good	Rotation
Joshua, the Conqueror (LoC)	LoC	LoC_069-Joshua-R	Lineage of Christ	Hero	Gold/Red	8	8	Warrior, Cloud	Judge, Prophet	You may underdeck an evil territory class card, an evil Fortress, a Site or an Artifact in play or a set-aside area. You may exchange this card with an O.T. red Hero from hand or territory. Cannot be negated.	Rare	Joshua 8:		Good	Rotation
Joshua, the Faithful (1st Print - L)	L1P	L29-1P-Joshua	L Starter (1st Print)	Hero	White	9	7	Warrior	Judge, Prophet	You may choose an Evil Character to block.	Starter	Exodus 32:17		Good	Rotation
Joshua, the Faithful [L]	L	L29-Joshua	L Starter	Hero	White	9	7		Judge, Prophet, Wilderness	You may take a good Exodus Enhancement from deck.	Starter	Exodus 32:17		Good	Rotation
Joshua’s Scribes (Roots)	RR	071-Joshuas-Scribes.jpg	Roots	Hero	Gold	3	7		Generic, Wilderness	You may draw 1. You may look at a hand, a Reserve or the top 7 cards of a deck.		Joshua 18:8		Good	Rotation
Joshua's Spear	FoM	080-Joshuas-Spear	Fall of Man	GE	Gold/Red	5	0	Weapon		If used by a red Hero, negate Evil Characters with toughness 5 or less. If your gold Hero is blocked, you may discard this card to decrease a blocking Evil Character 5/5.	Common	Joshua 8:26		Good	Rotation
Josiah, the Restorer / Josiah, the Righteous (LoC)	LoC	LoC_070-Josiah	Lineage of Christ	Hero	Purple/Red (Purple/Red)	10(3)	12(7)	Warrior, Star	King of Judah	STAR: Topdeck an Artifact from Reserve. TOP: You may discard an evil Fortress, an idol or a Curse. If a meek Hero is in play, you may play a Lost Soul from a deck. BOTTOM: Meek	Common	II Chronicles 34:1		Good	Rotation
Josiah's Covenant	Ki	Josiah's_Covenant_(Ki)	Kings	Covenant	Purple	3	4			Protect all Heroes in players territory from harm or negative effect.	Common	II Kings 23:3		Good	
Josiah’s Covenant (LoC)	LoC	LoC_012-Josiahs-Covenant-R	Lineage of Christ	Covenant	Purple/Red	3	4			GE: Discard an evil card. Cannot be negated if used by Josiah. ART: Protect Heroes in territory from harm.	Rare	II Kings 23:3		Good	Rotation
Jotham, the Mighty / Jotham, the Upright (LoC)	LoC	LoC_071-Jotham	Lineage of Christ	Hero	Purple/Red (Purple/Red)	12(4)	8(3)	Warrior, Star	King of Judah	STAR: Topdeck a good Fortress from deck. TOP: You may convert this card to meek to take a good card from Reserve. May band to a meek Hero. Cannot be negated. BOTTOM: Meek	Common	II Kings 15:7		Good	Rotation
Journey to Egypt	Pat	Journey_to_Egypt_(Pa)	Patriarchs	GE	Blue	2	2			Set Hero aside for one turn.  Upon return, Hero has access to any Lost Soul site and ignores Egyptians.	Common	Genesis 46:1		Good	
Journey to Egypt (Roots)	RR	045-Journey-to-Egypt.jpg	Roots	GE	Blue	6	1			Interrupt the battle. Hero may band to up to 3 Genesis Heroes. Cannot be negated if used by Jacob.		Genesis 46:1		Good	Rotation
Joy (EC)	TEC	Joy_(EC)	Early Church	GE	Clay/White			Territory	Fruit of the Spirit	Place on your clay or white Hero: Increase Hero 7/0. That Hero's special ability cannot be negated. Protect clay and white Heroes from decrease.	Common	Galatians 5:22-23		Good	Rotation
Joy (L)	Main	Joy_(UL)	Main	GE	Purple	2	2		Fruit of the Spirit		Common	Galatians 5:22-23		Good	
Joy (UL)	Main UL	Joy_(UL)	Main Unlimited	GE	Purple	2	2		Fruit of the Spirit		Common	Galatians 5:22-23		Good	
Jubilee	3E	Jubilee_(E)	3rd Edition	GE	Blue	2	0			Search your discard pile for any blue brigade enhancement and add it to your hand.	Deck	Exodus 15:20		Good	
Judah	TxP	Judah_(TxP)	Thesaurus ex Preteritus	Hero	Blue	9	9		Son of Jacob, Patriarch	You may exchange Judah with a captured Hero, or with Joseph or Benjamin from your discard pile.	Fixed	Genesis 44:18		Good	
Judah, the Leader / Judah, the Substitute (LoC)	LoC	LoC_083-Judah	Lineage of Christ	Hero	Blue (Blue/Red)	4(12)	4(11)	Star	Patriarch, Son of Jacob	STAR: Resurrect a meek blue Hero. TOP: Negate an evil or neutral card in play or set aside area. May band to a patriarch. Cannot be interrupted. BOTTOM: Meek	Common	Genesis 29:35		Good	Rotation
Judah, the Replacement (Roots)	RR	037-Judah.jpg	Roots	Hero	Blue	9	9		Patriarch, Son of Jacob	You may release a captured Hero or exchange this card with O.T. Joseph or Benjamin from discard pile.		Genesis 44:18		Good	Rotation
Judah’s Intervention (LoC)	LoC	LoC_146-Judahs-Intervention	Lineage of Christ	GE	Blue/Red	4	3	Territory		You may capture your Genesis or meek Hero to a player to take a Genesis Hero from deck. Withdraw an opposing character.	Common	Genesis 44:33		Good	Rotation
Judah's Sin	Pat	Judah's_Sin_(Pa)	Patriarchs	EE	Pale Green					Choose one male Hero in opponent's territory.  Hero may not enter battle until healed.	Common	Genesis 38:15-16		Evil	
Judaizers	TEC	Judaizers_(EC)	Early Church	Evil Character	Crimson	7	7			If blocking alone, you may underdeck a N.T. Lost Soul. Opponent my restrict players from playing enhancements during battle instead. Cannot be negated.	Common	Galatians 1:9		Evil	Rotation
Judas Iscariot (L)	Main	Judas_Iscariot_(UL)	Main	Evil Character	Crimson	6	6				Uncommon	Mark 14:10-11		Evil	
Judas Iscariot (Pi)	Pri	Judas_Iscariot_(Pi)	Priests	Evil Character	Crimson	6	6			Protect this evil character from convert and discard abilities on opponent's cards while he remains in play.  Cannot be negated.	Ultra Rare	Mark 14:10-11		Evil	
Judas Iscariot (UL)	Main UL	Judas_Iscariot_(UL)	Main Unlimited	Evil Character	Crimson	6	6				Uncommon	Mark 14:10-11		Evil	
Judas Iscariot / Judas, the Betrayer (GoC)	GoC	049-Judas-Iscariot	Gospel of Christ	Hero/Evil Character	Purple/Crimson	1(6)	6(1)	Territory	(Good) Disciple / (Evil) Thief	HERO: If a player uses a draw ability, you may take an Artifact or Enhancement from their hand. If attacking, you may draw 2. EC: Restrict good Dominants. May band to a demon, or you may take an Artifact from a deck.	Common	Luke 6:13,16		Neutral	Rotation
Judas' Plot	Di	Judas'_Plot_(Di)	Disciples	EE	Crimson	2	2	Territory		Place on your N.T. human Evil Character Character: If an opponent's good Dominant rescues or discards a card, discard this Enhancement instead to place that Dominant under deck. Protect bearer from conversion.	Fixed	Mark 14:10		Evil	
Jude	3E	Jude_(F)	3rd Edition	Hero	Red	8	8				Deck	Jude 1:1		Good	
Jude (PC)	TPC	Jude_(PC)	Persecuted Church	Hero	Clay	2	5		Jerusalem	Underdeck a good Jude Enhancement from discard pile. Once per game, you may choose a heretic to block	Common	Jude 1:1		Good	Rotation
Judean Garrison (LoC)	LoC	LoC_038-Judean-Garrison-R	Lineage of Christ	Hero/Fortress	Red	7	12	Warrior	Generic	FORT: Protect O.T. red warriors and weapons in territory from opponents. HERO: You may equip a second weapon to this card. Cannot be negated.	Rare	II Chronicles 17:2		Good	Rotation
Judge's Seat	RoA	Judge's_Seat_(RA)	Rock of Ages	Fortress					Holds one Good Gold brigade Judge. X = the strength of the judge here	Each upkeep phase, you may discard an Evil Character with toughness greater than X. Opponent may discard a card of matching brigade from hand or territory instead.	Fixed	Exodus 18:13		Good	
Judge's Seat (I/J+)	I/J+	Judges-Seat-IJ	I/J+	Fortress						Each upkeep, you may take a good Ruth or Judges Enhancement from deck or Reserve. While you control a judge, you may discard this card to discard an evil card in a territory.		Judges 2:16		Good	Rotation
Judith (LoC)	LoC	LoC_172-Judith	Lineage of Christ	Evil Character	Black/Crimson	3	4		Canaanite, Edomite	Opponent may banish a good card from discard pile or Reserve. If they do not, protect Edomites from O.T. Heroes. May band to Esau.	Common	Genesis 26:34		Evil	Rotation
Julius the Centurion	TPC	Julius_the_Centurion_(PC)	Persecuted Church	Evil Character	Gray	7	6	Warrior	Roman Centurion	Negate characters (except Romans). You may search deck for Alexandrian Ship. Cannot be negated by a good card.	Common	Acts 27:1		Evil	Rotation
Just a Hireling	RoA	Just_a_Hireling_(RA)	Rock of Ages	EE	Black/Gray					Discard your Sadducee or Pharisee to shuffle up to three Lost Souls into deck.	Fixed	John 10:12		Evil	
Just a Hireling (GoC)	GoC	168-Just-a-Hireling	Gospel of Christ	EE	Black/Gray	2	3			Discard your Pharisee or Sadducee to shuffle up to 3 Lost Souls (or any number of meek Lost Souls). Cannot be prevented if you control a meek Lost Soul.	Common	John 10:12		Evil	Rotation
Justice Bringer	FoM	131-Justice-Bringer-R	Fall of Man	Hero	Silver	9	3	Warrior	Generic	If you control a purple king, each player must discard a human, Site or Fortress in territory. Limit 3 times per game. Cannot be interrupted.	Rare	I Chronicles 21:16		Good	Rotation
Justin Martyr (RoJ AB)	RoJ (AB)	RoJ_AB_N43-Justin-Martyr	Revelation of John (Alternate Border)	Hero	Clay/White	7	5		Martyr	You may search deck or Reserve (or discard pile if it contains a martyr) for Blood of the Lamb or Word of Their Testimony. Cannot be interrupted.	Common	Revelation 14:12		Good	Rotation
Justin Martyr (RoJ)	RoJ	43-Justin-Martyr	Revelation of John	Hero	Clay/White	7	5		Martyr	You may search deck, Reserve or discard pile ( if it contains a martyr) for Blood of the Lamb or Word of Their Testimony. Cannot be interrupted.	Common	Revelation 14:12		Good	Rotation
Kedarite Archer (Roots)	RR	175-Kedarite-Archer.jpg	Roots	Evil Character	Crimson	3	5	Warrior	Generic	If this card is discarded, you may discard a Hero in a territory. May band to an O.T. human warrior.		Isaiah 21:17		Evil	Rotation
Kenan, the Acquirer / Kenan (Sorrow) (LoC)	LoC	LoC_084-Kenan	Lineage of Christ	Hero	Blue (Blue/Red)	8(4)	11(2)	Star	Antediluvian	STAR: Topdeck a blue card from Reserve. TOP: First strike. You may draw 1. May band to Mahalalel. Cannot be negated if you control a meek Genesis Hero. BOTTOM: Meek	Common	Genesis 5:12		Good	Rotation
Kerith Ravine	Ki	Kerith_Ravine_(Ki)	Kings	Fortress						Set this Fortress aside.  Holder may put one O.T. human Hero in this Site to protect it from harm.  Set-aside enhancements work in this Fortress.	Uncommon	I Kings 17:5		Good	
Kidron Valley	RoA 3	Kidron_Valley_(tin)	Rock of Ages	Site	Teal					When you put a teal priest in play, you may discard a Curse, an Artifact with a capture ability, or an Artifact depicting an idol.	Fixed	II Chronicles 29:16		Neutral	Rotation
Kindness (Di)	Di	Kindness_(Di)	Disciples	GE	Gold	1	1			Negate Evil Character immune abilities.  Hero ignores one Evil Character brigade in battle.  Opponent must draw 1 (or 2 if used by a Samaritan).	Fixed	Luke 10:34		Good	
Kindness (EC)	TEC	Kindness_(EC)	Early Church	GE	Clay/Gold			Territory	Fruit of the Spirit	Place on your clay or gold Hero: During your upkeep, choose an evil brigade and each player must draw 1. Hero is immune to the chosen brigade this turn.	Common	Galatians 5:22-23		Good	Rotation
Kindness (L)	Main	Kindness_(Li)	Main	GE	Gold	1	1		Fruit of the Spirit	Hero ignores Red Brigade.	Rare	Galatians 5:22-23		Good	
Kindness of Boaz	J	Kindness_of_Boaz_(J)	J	GE	White	1	3	Territory		Draw 1 (or 2 if used by Boaz).	Deck	Ruth 2:13		Good	Rotation
King Abijah	Ki	King_Abijah_(Ki)	Kings	Evil Character	Crimson	7	4	Warrior	Judean King	Opponent must give holder an unoccupied single color Site, or discard a card from hand without using it.	Rare	I Kings 15:1		Evil	
King Abijam	RoA 3	King_Abijam_(tin)	Rock of Ages	Hero/Evil Character	Purple/Brown	7	3	Warrior	When put in play, Choose Abijam to be Good or Evil. King of Judah. X = # of cards opponent has drawn this turn	If you control a priest or Temple Artifact, negate Sites. If your rescue attempt is successful, take an opponent's Site. If blocking, decrease a Hero X/X.	Fixed	I Kings 15:1		Neutral	Rotation
King Achish	CoW	King_Achish_(CoW)	Cloud of Witnesses	Evil Character	Black	8	8	Warrior	Philistine	If another Philistine is in play and no evil Enhancement is in battle, you may draw 2 or play an O.T. evil Enhancement. Cannot be negated if David is in play.	Common	I Samuel 21:12		Evil	Rotation
King Achish (1st Print - L)	L1P	L42-1P-King-Achish	L Starter (1st Print)	Evil Character	Black	11	10	Warrior	Philistine King	Negate band abilities.	Starter	I Samuel 21:12		Evil	Rotation
King Achish (CoW AB)	CoW (AB)	CoW_AB_N104-King-Achish	Cloud of Witnesses (Alternate Border)	Evil Character	Black	8	8	Warrior	Philistine	If another Philistine is in play and no evil Enhancement is in battle, you may draw 2 or play an O.T. evil Enhancement. Cannot be negated if David is in play.	Common	I Samuel 21:12		Evil	Rotation
King Achish [L]	L	L42-King-Achish	L Starter	Evil Character	Black	11	10	Warrior	Philistine King	You may take an evil O.T. card from Reserve.	Starter	I Samuel 21:12		Evil	Rotation
King Ahab	RoA	King_Ahab_(RA2)	Rock of Ages	Evil Character	Brown	11	11	Warrior	King of Israel	Search deck for an O.T. evil Fortress. Negate green cards with strength 4 or greater. If Jezebel is in battle, you may play a borwn O.T. Enhancement.	Fixed	I Kings 16:33		Evil	
King Ahaz (Ki)	Ki	King_Ahaz_(Ki)	Kings	Evil Character	Gold	7	7	Warrior	Israelite King	Artifacts Destroyed cannot be negated.  Until King Ahaz is discarded, he may use any evil set-aside enhancement.	Uncommon	II Kings 16:2		Evil	
King Ahaz (TxP)	TxP	King_Ahaz_(TxP)	Thesaurus ex Preteritus	Evil Character	Brown	7	7	Warrior	King of Judah, Fought Earthly Battle	Search deck for High Places. Brown Evil Characters may use O.T. evil Enhancements regardless of brigade. Cannot be negated.	Fixed	II Kings 16:22		Evil	
King Ahaziah	Ki	King_Ahaziah_(Ki)	Kings	Evil Character	Brown	6	6	Warrior	Judean King	May band to King Joram of Israel.  If King Ahaziah is discarded, search your draw pile for Athaliah and put her in play.	Uncommon	II Kings 8:24		Evil	
King Ahaziah (PC)	TPC	King_Ahaziah_(PC)	Persecuted Church	Evil Character	Brown	2	2	Warrior	King of Israel, X=# of your Samaria Sites	If blocking, you may discard a good Enhancement and search deck or discard pile for a card depicting an idol. Remove up to X cards in a discard pile from the game.	Common	I Kings 22:51		Evil	Rotation
King Amaziah (Ki)	Ki	King_Amaziah_(Ki)	Kings	Hero	White	8	9	Warrior	Judean King	May choose one evil King of Israel to block.  Wall of Protection has no effect.  Special ability may be used once per game.	Uncommon	II Kings 14:8		Good	
King Amaziah (RoA)	RoA	King_Amaziah_(RA2)	Rock of Ages	Hero	Purple	8	9	Warrior	King of Judah	Once per game, you may choose an evil King of Israel to block. If this Hero is captured, you may add your O.T. Hero to the battle.	Fixed	II Kings 14:8		Good	
King Amon (Di)	Di	King_Amon_(Di)	Disciples	Evil Character	Brown	2	2	Warrior	King of Judah	If blocking and King Manasseh is in your discard pile, search discard pile for a brown O.T. Evil Enhancement or an O.T. Artifact depicting an idol.	Fixed	II Kings 21:23-24		Evil	
King Amon (Ki)	Ki	King_Amon_(Ki)	Kings	Evil Character	Black	3	4		Judean King	If Manasseh is in your discard pile, search discard pile for one evil enhancement with an O.T. reference.	Uncommon	II Kings 21:19-20		Evil	
King Asa (Ki)	Ki	King_Asa_(Ki)	Kings	Hero	Green	7	5	Warrior	Judean King	Discard Queen Maachah.  King Asa has access to any Site.	Uncommon	II Chronicles 14:2-3		Good	
King Asa (TxP)	TxP	King_Asa_(TxP)	Thesaurus ex Preteritus	Hero	Purple	7	5	Warrior	King of Judah, Fought Earthly Battle	Discard High Places and Queen Maachah. Negate special abilities on O.T. Sites. This Hero has access to all Sites.	Fixed	I Kings 15:9		Good	
King Asnappar	FoOF	King_Asnappar_(FF)	Faith of Our Fathers	Evil Character	Pale Green	11	7	Warrior	Assyrian King	You may capture an Egyptian or a Syrian, or you may transfer a captured character from your territory to opponent's Land of Bondage.	Fixed	Ezra 4:10		Evil	
King Azariah (Uzziah)	Ki	King_Azariah_(Uzziah)_(Ki)	Kings	Hero	Purple	6	9	Warrior	Judean King	Good enhancements with a reference from 2 Chronicles 26 cannot be negated.  If Hero contracts Leprosy, immediately remove Hero from the game.	Uncommon	II Kings 15:1		Good	
King Balak	FoM	072-King-Balak	Fall of Man	Evil Character	Gray	2	2	Territory	Moabite King	You may take Balaam from deck (or Reserve if another Moabite is in play). While a Curse is active, negate O.T. Heroes. If Balaam blocks, protect O.T. Lost Souls from rescue.	Common	Numbers 22:4-5		Evil	Rotation
King Basha	Ki	King_Basha_(Ki)	Kings	Evil Character	Gold	4	4	Warrior	Israelite King	None that Breathed cannot be negated.	Uncommon	I Kings 15:16		Evil	
King Belshazzar	FoOF	King_Belshazzar_(FF2)	Faith of Our Fathers	Evil Character	Crimson	5	6	Warrior	Babylonian King	You may search a discard pile for a Temple Artifact and/or Belshazzar's Banquet. May band to a Babylonian (except a King).	Fixed	Daniel 5:22-23		Evil	
King Ben-Hadad I	Ki	King_Ben_Hadad_I_(Ki)	Kings	Evil Character	Gray	7	7	Warrior	Syrian King	If block is successful, holder may look at opponent's hand and place one card beneath opponent's draw pile.	Uncommon	I Kings 20:2		Evil	
King Cushan-Rishathaim	FoOF	King_Cushan-Rishathaim_(FF)	Faith of Our Fathers	Evil Character	Gray	8	8	Warrior	King of Aram Nahariam (Syria)	Prevent the special ability on the next Enhancement opponent plays this battle.	Fixed	Judges 3:8		Evil	
King Cushan-Rishathaim (Roots)	RR	188-King-Cushan-rishathaim.jpg	Roots	Evil Character	Gray	8	8	Warrior	Syrian King	Prevent the next Enhancement played by opponent. You may capture a Hero in a territory.		Judges 3:8		Evil	Rotation
King Darius, the Mede	PoC	157-King-Darius-R	Prophecies of Christ	Evil Character	Brown	8	9	Warrior	Persian King	After battle, you may take a City and play it, or take an evil human warrior to territory and convert it to brown: That character gains “Persian”. May band to a Persian warrior. Cannot be negated.	Rare	Daniel 5:31		Evil	Rotation
King David	Pmo-P1	King_David_(Promo)	Promo	Hero	Purple	11	11			May not be blocked by any member of any royal family.	Promo	Old Testament		Good	
King Eglon	FoM	089-King-Eglon	Fall of Man	Evil Character	Gray	3	12	Warrior	Moabite King	You may draw 1, take a Moabite from deck or Reserve, or opponent must give you an Enhancement from hand. Search abilities cannot be interrupted.	Common	Judges 3:17		Evil	Rotation
King Elah	Ki	King_Elah_(Ki)	Kings	Evil Character	Gold	1	1		Israelite King	Discard King Elah after this battle if King Zimri is in play.	Uncommon	I Kings 16:8		Evil	
King Evil-merodach	Pri	King_Evil-merodach_(Pi)	Priests	Evil Character	Crimson	8	11	Warrior	Babylonian King	Protect all human Evil Characters in your territory from opponent's cards.	Uncommon	II Kings 25:27		Evil	
King Hazael	RoA	King_Hazael_(RA)	Rock of Ages	Evil Character	Gray	8	11	Warrior	Syrian King, Fought in Earthly Battle	You may discard a gray brigade enhancement from hand to discard an O.T. Fortress or occupied Site. Opponent may discard one of his Artifacts instead.	Fixed	II Kings 12:17		Evil	
King Hazael (LoC)	LoC	LoC_199-King-Hazael	Lineage of Christ	Evil Character	Gray	8	11	Warrior	Syrian King	You may take a Site, discard a Fortress or underdeck an evil human. Its owner may discard a good card from hand instead. May band to a Syrian warrior. Cannot be interrupted	Common	II Kings 12:17		Evil	Rotation
King Hezekiah (Ki)	Ki	King_Hezekiah_(Ki)	Kings	Hero	Green	9	11	Warrior	Judean King	May band to Isaiah.  All Heroes in battle are immune to Philistine and Assyrians.	Uncommon	II Kings 18:1		Good	
King Hezekiah (Pi)	Pri	King_Hezekiah_(Pi)	Priests	Hero	Purple	9	11	Warrior	Judean King	You may discard an evil Enhancement in your territory.  May band to Isaiah or to a Hero with a reference from II Chronicles 29-32.	Uncommon	II Kings 18:1		Good	
King Hiram	FoOF	King_Hiram_(FF)	Faith of Our Fathers	Hero	Purple	10	4	Warrior	Phoenician King	You may draw a card or search deck for an O.T. Fortress and add it to hand.	Fixed	I Samuel 5:11		Good	
King Hiram (Roots)	RR	094-King-Hiram.jpg	Roots	Hero	Purple	10	4	Warrior	Canaanite King	You may draw 1 or play a good O.T. Fortress from deck.		II Samuel 5:11		Good	Rotation
King Hoshea	Ki	King_Hoshea_(Ki)	Kings	Evil Character	Gray	4	6	Warrior	Israelite King	King Hoshea cannot be converted.	Common	II Kings 15:30		Evil	
King Jehoahaz (Isreal)	Ki	King_Jehoahaz_(Israel)_(Ki)	Kings	Evil Character	Black	5	7	Warrior	Israelite King	Capture King Amaziah of Judah.  King Jehoahaz cannot be taken prisoner.	Uncommon	II Kings 13:1		Evil	
King Jehoahaz (Judah)	Ki	King_Jehoahaz_(Judah)_(Ki)	Kings	Evil Character	Black	1	1		Judean King	Discard Jehoahaz after this battle if Pharaoh Neco is in play.	Uncommon	II Kings 23:31		Evil	
King Jehoash (Ki)	Ki	King_Jehoash_(Ki)	Kings	Evil Character	Black	8	7	Warrior	Israelite King	Character has first strike ability.  This ability cannot be negated if holder has Samaria Site in play.	Uncommon	II Kings 13:10		Evil	
King Jehoash (RoA)	RoA	King_Jehoash_(RA2)	Rock of Ages	Evil Character	Brown	10	7	Warrior	King of Israel	Capture King Amaziah to take a Temple Artifact. First Strike. Cannot be negated if a Samaria Site is in play.	Fixed	II Kings 13:10		Evil	
King Jehoiakim	Ki	King_Jehoiakim_(Ki)	Kings	Evil Character	Gold	6	5	Warrior	Judean King	Look at opponent's hand.  If there is a white enhancement, or a card with a Jeremiah reference, select and remove one of these from the game.	Uncommon	II Kings 23:34		Evil	
King Jehoiakin	Ki	King_Jehoiakin_(Ki)	Kings	Evil Character	Pale Green	1	1		Judean King	Discard King Jehoiakin after battle if a Babylonian is in play.	Uncommon	II Kings 24:8		Evil	
King Jehoram	Ki	King_Jehoram_(Ki)	Kings	Evil Character	Brown	5	9	Warrior	Judean King	Cannot be taken prisoner.  May band to Athaliah.	Uncommon	II Kings 8:16		Evil	
King Jehoshaphat (Ki)	Ki	King_Jehoshaphat_(Ki)	Kings	Hero	Red	9	6	Warrior	Judean King	Hero has first strike ability.  Valor of Warriors cannot be negated.	Uncommon	I Kings 15:24		Good	
King Jehoshaphat (Pi)	Pri	King_Jehoshaphat_(Pi)	Priests	Hero	Purple	9	6	Warrior	Judean King	May band to any Hero with a reference from II Chronicles 17-20.	Uncommon	I Kings 15:24		Good	
King Jehu	Ki	King_Jehu_(Ki)	Kings	Evil Character	Black	*	6	Warrior	Israelite King	Discard King Joram, King Ahaziah of Judah, Jezebel, or Prophets of Baal.  Strength (*/) is equal to the number of Evil Characters in play.	Uncommon	II Kings 9:6		Evil	
King Jehu (FoM)	FoM	124-King-Jehu-R	Fall of Man	Hero/Evil Character	Purple/Brown	X	6	Warrior	King of Israel, X = # of characters of matching alignment in play	You may exchange Jehu with a non-royal human in territory to discard an evil royal human. Once per battle, if Jehu uses an O.T. Enhancement, opponent must discard an evil card from hand or territory.	Rare	II Kings 9:6		Neutral	Rotation
King Jeroboam I	Ki	King_Jeroboam_I_(Ki)	Kings	Evil Character	Brown	7	7	Warrior	Israelite King	Search your draw pile or discard pile for one evil set-aside enhancement and add it to your hand.	Uncommon	I Kings 12:25		Evil	
King Jeroboam II	Ki	King_Jeroboam_II_(Ki)	Kings	Evil Character	Black	4	5	Warrior	Israelite King	Take a Damascus Site from an opponent and place in your territory.	Uncommon	II Kings 14:23		Evil	
King Jeroboam II (PC)	TPC	King_Jereboam_II_(PC)	Persecuted Church	Evil Character	Brown	4	5	Warrior	King of Israel, X=# of your Samaria Sites	You may draw X (limit 3), search discard pile for a Samaria Site, negate and discard a single-color Site, or take a Damascus Site.	Common	II Kings 14:23		Evil	Rotation
King Joash (Ki)	Ki	King_Joash_(Ki)	Kings	Hero	Blue	7	8	Warrior	Judean King	King Joash is immune to brown brigade female characters.  Hero has access to any O.T. Site.	Uncommon	II Kings 11:12		Good	
King Joash (Pi)	Pri	King_Joash_(Pi)	Priests	Hero	Purple	7	8	Warrior	Judean King	Search discard pile for Solomon's Temple and put it in play.  May band to Jehoiada the High Priest.	Uncommon	II Kings 11:12		Good	
King Joram	Ki	King_Joram_(Ki)	Kings	Evil Character	Brown	5	5	Warrior	Israelite King	If holder has a Samaria Site in play, draw a card.	Uncommon	II Kings 8:29		Evil	
King Josiah	Ki	King_Josiah_(Ki)	Kings	Hero	Purple	9	9	Warrior	Judean King	Discard Chariots of the Sun.  Search your draw pile for Solomon's Temple and place in your territory.  Cannot be negated.	Uncommon	II Kings 22:1		Good	
King Jotham	Ki	King_Jotham_(Ki)	Kings	Hero	Purple	6	7	Warrior	Judean King	Enhancements played on King Jotham cannot be negated when played against warrior class Evil Characters.	Uncommon	II Kings 15:7		Good	
King Lemuel	RoA	King_Lemuel_(RA)	Rock of Ages	Hero	Purple	8	11		King of Massa	If you have a royal female Hero in play, you may exchange a card in your hand with an O.T. good Enhancement in your discard pile.	Fixed	Proverbs 31:1		Good	
King Lemuel (Roots)	RR	095-King-Lemule.jpg	Roots	Hero	Purple	8	11		King	If you control a female Hero, you may exchange a card in hand with an O.T. purple Enhancement from discard pile.		Proverbs 31:1		Good	Rotation
